
Host: cmpsrv002

Timers On : Thu Sep 26 15:15:51 2024
Timers Off: Thu Sep 26 15:17:37 2024

Wall Time:      105.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.033u      0.000s      0.007w      1 calls
Exch10                              :      0.000u      0.000s      0.002w      1 calls
Ind20,r                             :      4.783u      0.300s      0.762w      1 calls
Exch-Ind20,r                        :      0.217u      0.017s      0.035w      1 calls
Disp20                              :      0.433u      0.083s      0.077w      1 calls
Exch-Disp20                         :      3.333u      0.150s     11.881w      1 calls
Elst12                              :      0.000u      0.000s      0.000w      1 calls
Exch11                              :      0.150u      0.017s      0.027w      1 calls
Exch12                              :     37.917u      3.783s      6.340w      1 calls
Ind22                               :      9.767u      2.700s      2.145w      1 calls
Disp21                              :      0.283u      0.117s      0.076w      1 calls
Disp22 (SDQ)                        :     12.733u      1.733s      2.172w      1 calls
Disp22 (T)                          :    352.633u      7.250s     53.986w      1 calls

**************************************************************************************

Host: cmpsrv002

Timers On : Thu Sep 26 15:25:32 2024
Timers Off: Thu Sep 26 15:35:37 2024

Wall Time:      604.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
SAPT: Dimer SCF                     :    519.050u     36.200s    192.089w      1 calls
Libint2ERI::Libint2ERI              :     26.367u      1.033s     14.710w     26 calls
JK: (A|mn)                          :     34.783u     10.300s     14.512w      1 calls
JK: (A|Q)^-1/2                      :      9.200u      0.833s      2.519w      1 calls
JK: (Q|mn)                          :     73.700u      2.667s     23.263w      1 calls
HF: Form core H                     :      3.050u      0.283s      1.318w      3 calls
HF: Form S/X                        :      5.217u      0.433s      1.497w      3 calls
HF: Guess                           :      8.317u      1.717s      2.542w      3 calls
SAD Guess                           :      8.233u      1.700s      2.521w      3 calls
HF: Form G                          :    716.083u     10.783s    118.300w     35 calls
JK: D                               :      0.217u      0.017s      0.042w     35 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w     35 calls
JK: JK                              :    715.533u     10.700s    118.187w     35 calls
JK: J                               :     51.783u      2.133s     12.130w     35 calls
JK: J1                              :     34.733u      1.617s      6.155w     35 calls
JK: J2                              :     16.850u      0.517s      5.905w     35 calls
JK: K                               :    660.183u      7.200s    105.269w     35 calls
JK: K1                              :    586.383u      6.683s     93.373w     35 calls
JK: K2                              :     73.750u      0.517s     11.883w     35 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     35 calls
HF: Form F                          :      0.217u      0.000s      0.044w     35 calls
HF: Form D                          :      0.233u      0.000s      0.035w     35 calls
HF: DIIS                            :     45.433u      3.417s    134.244w     32 calls
HF: Form C                          :     41.117u      0.850s      6.299w     32 calls
DFMP2 Singles                       :      0.117u      0.000s      0.028w      3 calls
DFMP2 Aia                           :    164.683u     18.050s    170.609w      3 calls
DFMP2 (A|mn)                        :    100.633u      0.117s     15.120w      6 calls
DFMP2 (A|mn)C_mi                    :     30.833u      0.533s      4.896w      6 calls
DFMP2 (A|mi)C_na                    :      9.400u      0.417s      1.633w      6 calls
DFMP2 Aia Write                     :      6.383u      0.483s    130.385w      6 calls
DFMP2 Bia                           :     20.050u      2.017s     71.034w      3 calls
DFMP2 Metric                        :      5.500u      0.150s      2.193w      3 calls
DFMP2 Aia Read                      :      0.000u      0.667s      0.397w      3 calls
DFMP2 (ia|A)(A|Q)                   :     10.867u      0.617s      1.754w      3 calls
DFMP2 Bia Write                     :      3.683u      0.317s     66.517w      3 calls
DFMP2 Energy                        :     60.367u      1.950s     10.015w      3 calls
DFMP2 Bia Read                      :      0.150u      1.083s      0.732w      6 calls
SAPT: Monomer A SCF                 :    163.867u      6.800s     56.773w      1 calls
SAPT: Monomer B SCF                 :    285.633u     10.117s    100.423w      1 calls

--------------------------------------------------------------------------------------
SAPT: Dimer SCF                     :    519.050u     36.200s    192.089w      1 calls
| Libint2ERI::Libint2ERI            :      5.400u      0.133s      3.385w      2 calls
| JK: (A|mn)                        :     34.783u     10.300s     14.512w      1 calls
| JK: (A|Q)^-1/2                    :      9.200u      0.833s      2.519w      1 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.001w      4 calls
| JK: (Q|mn)                        :     73.700u      2.667s     23.263w      1 calls
| HF: Form core H                   :      0.550u      0.100s      0.247w      1 calls
| HF: Form S/X                      :      2.983u      0.333s      1.146w      1 calls
| HF: Guess                         :      5.800u      1.333s      2.108w      1 calls
| | SAD Guess                       :      5.750u      1.317s      2.091w      1 calls
| HF: Form G                        :    341.350u      5.600s     59.049w     13 calls
| | JK: D                           :      0.117u      0.017s      0.022w     13 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.001w     13 calls
| | JK: JK                          :    341.050u      5.517s     58.987w     13 calls
| | | JK: J                         :     20.200u      0.833s      5.552w     13 calls
| | | | JK: J1                      :     14.050u      0.683s      2.908w     13 calls
| | | | JK: J2                      :      6.050u      0.150s      2.612w     13 calls
| | | JK: K                         :    319.217u      3.967s     53.018w     13 calls
| | | | JK: K1                      :    276.617u      3.567s     45.839w     13 calls
| | | | JK: K2                      :     42.600u      0.400s      7.172w     13 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     13 calls
| HF: Form F                        :      0.117u      0.000s      0.027w     13 calls
| HF: Form D                        :      0.133u      0.000s      0.016w     13 calls
| HF: DIIS                          :     18.350u      1.367s     63.574w     12 calls
| HF: Form C                        :     18.567u      0.483s      2.865w     12 calls
DFMP2 Singles                       :      0.117u      0.000s      0.028w      3 calls
DFMP2 Aia                           :    164.683u     18.050s    170.609w      3 calls
| Libint2ERI::Libint2ERI            :     14.517u      0.767s      7.382w     12 calls
| DFMP2 (A|mn)                      :    100.633u      0.117s     15.120w      6 calls
| DFMP2 (A|mn)C_mi                  :     30.833u      0.533s      4.896w      6 calls
| DFMP2 (A|mi)C_na                  :      9.400u      0.417s      1.633w      6 calls
| DFMP2 Aia Write                   :      6.383u      0.483s    130.385w      6 calls
